Date,Tweet,City,Country,random #
Mon Apr 23 18:51:19 +0000 2018," I suspect it is primarily a medical decision as without intensive  ‘medical’ intervention the child will die, soon or during the winter flu season. the assessment of his quality of life may be more balanced but are parents going to feel the same months/ years down the line.",none,none,0.209414558
Wed Mar 28 18:43:09 +0000 2018,Higher prices help foie gras farmers overcome bird flu crises ,none,none,0.249821269
Fri Apr 27 19:48:10 +0000 2018,   Fm I've still got man flu from our B company Cheshire regtiment B company in Chester last weekend c'mon the Wire,none,none,0.337106588
Sun Apr 01 20:30:41 +0000 2018,CDC Warns of 2nd Flu Wave   via ,none,none,0.110475966
Tue May 01 17:57:24 +0000 2018,"Hello. It's me. Yeah the person who's been gone a while. You forgot me didn't you? Sigh, this flu is killing me in so many ways",none,none,0.665671769
Wed Apr 25 20:43:13 +0000 2018,When someone in your house has the flu and you’re doing everything in your power NOT to catch it. I need a hazmat suit. ,none,none,0.950175478
Tue Apr 03 18:44:29 +0000 2018,  Get this man a job   ,none,none,0.802781426
Mon Apr 16 18:46:56 +0000 2018, Flu Paul. Jabs available at your nearest GP,none,GB,0.223941675
Mon Apr 30 19:11:35 +0000 2018,"  There were *10,000 additional deaths* in the 1st 7 weeks of 2018. In England.   The infant mortality rate is rising in…",none,none,0.195186368
Mon Apr 02 19:45:24 +0000 2018,  4-2-18: Day six of the flu ,none,none,0.825651796
Fri Mar 30 18:47:51 +0000 2018,  A delish &amp; healthy way to start the day.  Recipe  #wellness #HealthyEating #healthyrecipe #flu #…,none,none,0.90263156
Tue May 01 17:43:46 +0000 2018,“Sickest rapper living. Glad to see em learn.  I couldn’t catch the flu kuz it ain’t wanna have me in return.”,none,none,0.848502565
Fri Apr 27 20:00:48 +0000 2018,"Following an exceptionally bad #flu season, #Medicago looks to build a better vaccine | #MedAff ",Raleigh,none,0.706446366
Mon Apr 02 19:46:42 +0000 2018,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. ,none,none,0.176476407
Wed Apr 25 20:39:28 +0000 2018,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL ,none,none,0.844887992
Tue Apr 03 19:01:32 +0000 2018,  #MakeABandSickly Flu Fighters,none,none,0.247280031
Thu Apr 05 19:07:39 +0000 2018,"And I wonder how the CDC department getting ran was that flu outbreak because of neglect,or mutation?..see how everything has changed and has to be scrutinized to the fullest extent...",none,none,0.271666217
Tue May 01 18:16:12 +0000 2018,I am catching the flu,none,none,0.782259874
Thu Apr 26 17:52:48 +0000 2018,"COOL With cold &amp; flu season still lingering, don't let mucus keep you from enjoying the warm weather! #MucusFighters ",none,none,0.646323877
Wed Mar 28 18:56:33 +0000 2018,Someone at Wondercon thought it was a great idea to bring the flu with them and share it with me. Whoever you are...Thanks! #WonderCon2018 ,none,none,0.950146004
Wed May 02 19:06:18 +0000 2018, Sounds like Man flu !,none,none,0.992852259
Thu Apr 05 19:10:24 +0000 2018,  Great thread Jess. Being from Canada I was shocked when I first moved to LA...(totally broke) my dear friend DIED at the do…,none,none,0.930732676
Wed Apr 18 18:12:02 +0000 2018,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…",none,none,0.04447673
Tue Apr 17 16:34:34 +0000 2018,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…,none,none,0.965648425
Fri Apr 27 19:14:48 +0000 2018,"I wanna see you &amp; I’ve already been feeling like I was in a relationship by myself then what would you think? You didn’t even check on me when I had the flu.. this man plays victim to everything, I hate a person that can’t take blame in shit! Then lie to make me seem like I’m",none,none,0.39090266
Mon Apr 23 18:19:09 +0000 2018,  Flu &gt; feelings  ,none,none,0.999509959
Wed Apr 25 21:05:20 +0000 2018,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL ,none,none,0.855252387
Tue Apr 24 18:01:14 +0000 2018,  Men like acting tough till they get a little flu they act like they are on life support ,none,none,0.978953434
